time,Longitude,Latitude,botDepth,date,depth,temperature,salinity,qualityflag
2.0,18.611,49.73941,0.0,20120634.0,3.5,15.204981877,0.291000009,1.0
17.0,359.99564,49.52468,0.0,20140114.0,3.5,20.435330296,31.50705296,1.0
19.0,359.99564,52.01304,0.0,20110639.0,3.5,12.924439813,35.041090531,1.0
8.0,359.05347,52.13339,0.0,20129466.0,3.5,21.341826418,1.333553888,1.0
17.0,28.68198,49.16089,0.0,20133953.0,3.5,14.7684866,15.000790329,1.0
16.0,352.23337,52.4569,0.0,20121199.0,3.5,11.782273647,0.291000009,1.0
0.0,349.0357,52.25232,0.0,20140114.0,3.5,31.666738843,35.711197263,1.0
9.0,359.99564,53.93702,0.0,20130195.0,3.5,12.460227422,30.987269211,1.0
12.0,359.99564,49.22356,0.0,20111583.0,3.5,14.241022313,6.583531963,1.0
6.0,359.99564,49.16089,0.0,20140114.0,3.5,19.961596466,28.732277802,1.0
0.0,359.99564,54.52095,0.0,20140114.0,3.5,21.718332562,0.291000009,1.0
0.0,28.81316,49.66968,0.0,20140114.0,3.5,21.516889342,0.291000009,1.0
0.0,29.91804,54.00324,0.0,20129287.0,3.5,12.858185345,34.538251244,1.0
9.0,33.66851,49.16089,0.0,20121279.0,3.5,13.226910484,34.275913793,1.0
0.0,15.19384,49.16089,0.0,20111718.0,3.5,13.390051921,31.260635937,1.0
0.0,350.71296,49.16089,0.0,20132317.0,3.5,32.861960965,27.714476124,1.0
0.0,6.42654,51.84364,0.0,20140114.0,3.5,12.471027611,0.291000009,1.0
10.0,26.38984,52.40847,0.0,20112124.0,3.5,31.23097077,30.281389134,1.0
9.0,359.99564,49.16089,0.0,20136783.0,3.5,14.112860742,34.190853286,1.0
0.0,359.99564,49.96593,0.0,20120761.0,3.5,8.932502004,35.031345956,1.0
3.0,359.99564,49.16089,0.0,20135215.0,3.5,32.582463298,0.291000009,1.0
0.0,19.64438,51.7453,0.0,20111145.0,3.5,31.849083449,28.318593503,1.0
0.0,342.40553,53.3499,0.0,20112234.0,3.5,33.126998901,33.742823539,1.0
5.0,15.96154,49.59071,0.0,20110619.0,3.5,30.568953673,5.008789602,1.0
6.0,359.99564,52.393,0.0,20120568.0,3.5,12.227105331,34.764159716,1.0
0.0,359.99564,49.16089,0.0,20120600.0,3.5,33.126998901,34.008648752,1.0
17.0,356.73126,52.9844,0.0,20108755.0,3.5,21.234795157,27.671811815,1.0
10.0,355.74666,49.29721,0.0,20120615.0,3.5,32.949771585,32.031419775,1.0
0.0,32.83734,52.84394,0.0,20112188.0,3.5,22.244422222,0.291000009,1.0
2.0,359.99564,49.95302,0.0,20120844.0,3.5,13.880558603,35.671145059,1.0
0.0,359.99564,49.84991,0.0,20132374.0,3.5,20.750198938,0.392606585,1.0
4.0,358.24764,52.01649,0.0,20120652.0,3.5,31.05244166,0.291000009,1.0
2.0,32.36526,52.3248,0.0,20131400.0,3.5,32.714375293,30.339009519,1.0
13.0,359.99564,49.69648,0.0,20109795.0,3.5,18.952441707,34.399861624,1.0
7.0,29.34546,49.47814,0.0,20128580.0,3.5,30.407097291,0.291000009,1.0
10.0,359.99564,49.32182,0.0,20120494.0,3.5,14.310684751,0.291000009,1.0
0.0,359.99564,49.16089,0.0,20112308.0,3.5,6.318294002,0.291000009,1.0
